,year,selling_price,km_driven,fuel,seller_type,transmission,owner
0,2007,60000,70000,2,1,1,1
1,2007,135000,50000,2,1,1,1
2,2012,600000,100000,1,1,1,1
3,2017,250000,46000,2,1,1,1
4,2014,450000,141000,1,1,1,2
5,2007,140000,125000,2,1,1,1
6,2016,550000,25000,2,1,1,1
7,2014,240000,60000,2,1,1,2
8,2015,850000,25000,2,1,1,1
9,2017,365000,78000,3,1,1,1
10,2015,260000,35000,2,1,1,1
11,2014,250000,100000,2,1,1,1
12,2018,1200000,25000,2,2,2,1
26,2015,585000,24000,2,2,1,1
27,2019,1195000,5000,1,2,1,1
28,2013,390000,33000,1,1,1,2
29,2014,1200000,28000,1,2,2,1
30,2013,1200000,59000,1,2,2,1
31,2018,975000,4500,1,2,2,1
32,2011,1190000,169500,1,2,2,1
33,2018,930000,14500,2,2,1,1
34,2018,525000,15000,2,1,1,1
35,2013,1200000,50000,1,2,2,1
36,2012,1200000,33800,1,2,2,2
37,2011,450000,130400,1,2,2,2
38,2016,900000,50000,2,1,2,1
39,2015,1200000,80000,1,1,1,1
40,2019,1200000,10000,2,1,1,1
41,2010,850000,119000,2,2,2,1
42,2014,229999,60000,2,1,1,3
43,2013,1200000,75800,1,2,2,2
44,2009,1200000,78000,1,2,2,3
45,2012,625000,40000,1,1,1,1
46,2014,1050000,50000,1,1,1,1
47,2014,560000,74000,1,1,1,2
48,2014,290000,64000,2,1,1,2
49,2012,275000,60000,2,1,1,2
50,2009,411000,120000,1,1,1,2
51,2009,150000,79000,2,1,1,3
52,2019,500000,15000,2,1,1,1
53,2006,100000,80000,2,1,1,1
54,2017,725000,18500,1,2,1,1
55,2018,401000,10200,2,2,1,1
56,2018,750000,29000,1,2,1,1
57,2018,310000,28000,2,2,1,1
58,2016,665000,46000,1,2,1,1
59,2014,465000,70000,1,2,1,1
60,2012,160000,60000,2,1,1,2
61,2001,250000,35000,1,1,1,2
62,2014,675000,90000,1,2,1,1
63,2013,300000,80000,2,2,1,1
64,2005,70000,80000,1,1,1,1
65,2014,240000,73300,2,2,1,2
66,2014,525000,92000,1,2,1,1
67,2009,151000,66764,2,2,1,2
68,2009,140000,100000,2,1,1,1
69,2010,280000,169500,1,1,1,2
70,2011,350000,169500,1,1,1,1
71,2017,570000,60000,1,1,1,1
72,2018,300000,31000,2,1,1,1
73,2007,100000,39000,1,1,1,1
74,2009,500000,120000,1,1,1,3
75,2014,125000,166000,1,1,1,3
76,2006,130000,110000,2,1,1,3
77,2017,925000,35000,1,1,1,1
78,2018,750000,60000,1,1,1,1
79,2007,200000,54000,2,1,2,2
80,2010,248000,63000,2,1,1,2
81,2014,450000,120000,1,1,1,2
82,2005,80000,120000,2,1,1,3
83,2014,650000,76000,2,1,1,2
84,2015,450000,80000,1,1,1,1
85,2019,650000,25000,1,1,1,1
86,2016,495000,11958,2,2,1,1
87,2015,371000,20000,2,2,1,1
88,2017,1025000,9000,2,2,1,1
89,2017,1200000,6500,1,2,2,1
90,2015,750000,70000,1,1,1,1
91,2013,600000,120000,1,1,1,1
92,2007,80000,58000,2,2,1,2
93,2013,325000,62200,1,2,1,1
94,2014,1200000,34000,1,2,2,2
95,2015,350000,53000,1,1,1,2
96,2013,1200000,49000,1,2,2,1
97,2017,210000,15000,2,2,1,2
98,2013,450000,50000,2,1,1,1
99,2013,1150000,53000,1,2,2,1
100,2009,210000,63500,2,2,2,1
101,2018,1200000,9800,2,2,2,1
102,2017,1200000,13000,1,1,2,1
103,2018,1200000,21000,1,2,2,1
104,2008,175000,29173,2,2,1,1
105,2012,1200000,48000,1,2,2,1
106,2017,628000,120000,1,1,1,1
107,2010,600000,100000,1,1,1,1
108,2017,399000,30000,2,1,1,1
109,2018,750000,87000,1,1,1,1
110,2019,750000,15000,2,1,1,1
111,2017,315000,16000,2,1,1,1
112,2012,600000,60000,1,1,1,1
113,2010,100000,60000,2,1,1,3
114,2011,250000,110000,2,1,1,3
115,2017,350000,25000,2,1,1,1
116,2016,780000,60000,1,1,1,1
117,2014,434000,79350,1,1,1,2
118,2016,690000,80000,2,1,2,1
119,2014,555000,90000,1,1,1,2
120,2007,120000,90000,2,1,1,2
121,2014,500000,120000,1,1,1,2
122,2013,165000,60000,1,1,1,2
123,2004,95000,50000,2,1,1,1
124,2018,550000,20000,2,1,1,1
125,2007,100000,110000,1,1,1,3
126,2012,100000,50000,2,1,1,2
127,2012,500000,100000,1,1,1,1
128,2016,800000,70000,1,1,1,2
129,2016,840000,70000,1,1,1,2
130,2016,490000,50000,2,1,1,1
131,2010,125000,81000,1,1,1,2
132,2012,400000,120000,1,1,1,3
133,2015,1000000,3600,1,2,1,1
134,2015,530000,14272,2,2,1,1
135,2017,840000,49213,1,2,1,1
136,2015,229999,40000,2,1,1,1
137,2001,40000,40000,2,1,1,3
138,2012,130000,80000,2,1,1,1
139,2015,200000,70000,2,1,1,1
140,2011,120000,70000,1,1,1,1
141,2003,75000,57000,2,1,1,1
142,2016,250000,120000,1,1,1,1
143,2005,100000,30000,2,1,1,1
144,2013,280000,3240,2,1,1,2
145,2015,540000,5000,2,1,1,1
146,2018,700000,10000,2,1,1,1
147,2015,525000,100000,1,1,1,1
148,2016,430000,80000,1,1,1,1
149,2002,65000,70000,2,1,1,1
150,2018,800000,35000,1,1,1,1
151,2007,75000,114000,2,1,1,2
152,2008,210000,53772,2,1,1,1
153,2012,195000,140000,1,1,1,2
154,2015,400000,120000,1,1,1,1
155,2012,170000,60000,2,1,1,1
156,2016,225000,25000,2,1,1,1
157,2014,210000,90000,3,1,1,1
158,2020,240000,120000,2,1,1,1
159,2015,300000,169500,1,1,1,1
160,2011,99000,100000,2,1,1,3
161,2014,620000,36000,2,1,1,1
162,2013,500000,30000,1,1,1,1
163,2010,1200000,40000,2,1,2,2
164,2013,260000,70000,2,1,1,2
165,2017,550000,60000,2,1,1,1
166,2011,150000,155500,1,1,1,1
167,2011,350000,50000,2,1,2,2
168,2016,320000,40000,2,1,1,1
169,2015,400000,100000,1,1,1,3
170,2012,175000,80000,2,1,1,3
171,2011,120000,90000,2,1,1,2
172,2013,320000,90000,1,1,1,2
173,2006,70000,110000,2,1,1,3
174,2019,810000,15000,2,1,1,1
175,2007,95000,100000,2,1,1,2
176,2020,282000,40000,3,1,1,1
177,2004,80000,60000,2,1,1,2
178,2013,72000,25000,2,1,1,1
179,2016,600000,25000,2,1,1,1
180,2015,640000,23000,2,1,1,1
181,2018,380000,22155,2,1,1,1
182,2018,650000,70000,2,1,1,1
183,2009,150000,60000,2,1,1,2
184,2009,280000,110000,2,1,1,2
185,2018,430000,30000,2,1,1,1
186,2019,800000,15000,1,1,1,1
187,2003,75000,100000,1,1,1,2
188,2016,650000,70000,1,1,2,1
189,2017,390000,24000,2,1,1,1
190,2005,100000,120000,2,1,1,2
191,2013,1200000,35000,1,1,2,1
192,2007,175000,78380,2,1,1,1
193,2012,434999,110000,1,1,1,2
194,2010,170000,90000,1,1,1,3
195,2011,190000,90000,1,1,1,3
196,2009,250000,150000,1,1,1,3
197,2009,229999,169500,1,1,1,3
198,2006,140000,70000,2,1,1,3
199,2017,600000,80362,1,1,1,1
200,2012,280000,110000,2,1,1,3
201,2012,150000,60000,1,1,1,1
202,2015,650000,50000,1,1,2,1
203,2014,210000,40000,2,1,1,2
204,2017,1200000,40000,1,1,2,1
205,2013,425000,20000,1,2,1,1
206,2014,265000,55000,2,2,1,1
207,2018,890000,1136,2,2,1,1
208,2013,365000,55000,2,2,1,1
209,2014,350000,43000,2,2,1,1
210,2016,685000,60000,1,1,1,1
211,2018,940000,2650,1,2,1,1
212,2017,1000000,40000,1,1,1,1
213,2019,1150000,15000,2,2,1,1
214,2016,450000,115962,1,1,1,2
215,2015,590000,65000,1,2,1,1
216,2017,800000,40000,1,1,1,1
217,2012,385000,58000,1,2,1,1
218,2013,1200000,15000,1,1,2,1
219,2012,235000,54000,2,2,1,1
220,2017,640000,56000,1,2,1,1
221,2006,52000,120000,2,1,1,3
222,2009,80000,90000,3,1,1,2
223,2012,140000,70000,2,1,1,2
224,2008,120000,90000,2,1,1,2
225,2008,89999,169500,1,1,1,1
226,2012,180000,120000,1,1,1,1
227,2017,1200000,20000,1,1,1,1
228,2017,700000,10000,2,1,1,1
229,2012,285000,80000,1,1,1,2
230,2015,390000,90000,2,1,1,1
231,2008,125000,80000,2,1,1,1
232,2008,225000,60000,2,1,1,2
233,2011,175000,139000,2,1,1,2
234,2011,1075000,160000,1,1,1,2
235,2014,300000,150000,1,1,1,1
236,2010,700000,163000,1,1,1,3
237,2009,90000,120000,1,2,1,1
238,2011,120000,120000,1,1,1,2
239,2012,220000,100000,1,1,1,2
240,2015,300000,140000,1,2,1,1
241,2010,180000,87000,1,2,1,2
242,2013,170000,70000,2,1,1,1
243,2015,300000,50000,2,1,1,2
244,2014,1050000,70000,1,1,1,1
246,2018,465000,25000,1,1,1,1
247,2011,130000,80000,1,1,1,2
248,2018,434999,10000,2,1,1,1
249,2018,500000,32000,2,1,1,1
250,2018,200000,10000,2,1,1,1
251,2017,625000,52000,2,2,1,1
252,2006,110000,120000,1,1,1,3
253,2019,800000,11240,2,1,1,1
254,2017,490000,66000,1,2,1,1
255,2017,880000,64000,1,2,1,1
256,2013,290000,49000,2,1,1,1
257,2006,115999,100000,1,1,1,2
258,2018,360000,26500,2,1,1,1
259,2002,65000,100000,2,1,1,2
260,2017,685000,72000,1,2,1,1
261,2009,300000,50000,2,1,1,1
262,2017,680000,44000,1,2,1,1
263,2017,1000000,60000,1,1,1,2
264,2002,100000,120000,1,1,1,1
265,2010,160000,130000,1,1,1,1
266,2017,450000,70000,1,1,1,1
267,2014,600000,20000,2,1,1,1
268,2009,180000,60000,1,1,1,2
269,2007,100000,169500,2,1,1,1
270,2010,120000,90000,2,1,1,2
271,2006,130000,80000,2,1,1,3
272,2011,160000,155000,2,1,1,1
273,2019,860000,35000,1,1,1,1
274,2018,650000,20000,2,1,1,2
275,2010,100000,80000,2,1,1,2
276,2017,282000,20000,2,1,1,1
278,2010,270000,110000,2,1,1,2
279,2013,550000,29000,1,1,1,1
280,2013,450000,120000,1,1,1,1
281,2011,430000,70000,1,1,1,2
282,2013,350000,40000,2,1,1,1
283,2017,350000,20000,2,1,1,1
284,2013,229999,50000,2,1,1,2
285,2013,110000,50000,2,1,1,1
286,2012,395000,49000,2,1,1,2
287,2011,650000,70000,1,1,2,2
288,2011,350000,90000,1,1,1,2
289,2020,1200000,25000,1,2,1,1
290,2018,360000,4000,2,1,1,1
291,2018,1200000,10000,1,1,1,1
292,2015,800000,15000,1,1,1,1
293,2018,229999,30000,2,1,1,1
294,2014,315000,41000,2,2,1,1
295,2012,125000,28000,2,1,1,1
296,2019,700000,16000,2,1,1,1
297,2015,160000,70000,2,1,1,1
298,2017,530000,10832,2,2,1,1
299,2018,624000,14681,1,2,1,1
300,2009,250000,50000,2,1,1,1
301,2016,585000,51000,1,2,1,1
302,2015,500000,25000,2,1,1,1
303,2014,350000,30000,2,1,1,1
304,2014,495000,80000,1,2,1,1
305,2017,500000,50000,2,1,1,1
306,2015,430000,169500,1,1,1,1
307,2013,345000,44000,2,2,1,1
308,2015,500000,10000,2,1,1,1
309,2019,425000,19600,2,1,1,1
310,2005,80000,40000,2,1,1,2
311,2011,106000,50000,1,1,1,1
312,2009,180000,46730,2,1,1,1
313,2015,250000,40000,2,1,1,2
314,2011,350000,80000,1,1,1,1
315,2002,60000,80000,2,1,1,2
316,2018,900000,24000,1,1,1,1
317,2017,700000,21170,1,2,1,1
318,2013,1200000,167223,1,2,2,1
320,2011,1200000,60000,1,1,2,1
321,2016,1200000,141440,1,2,1,1
322,2007,160000,120000,1,1,1,3
323,2012,525000,140000,2,1,2,1
324,2012,850000,169500,1,2,1,1
325,2019,800000,30000,1,1,1,1
326,2017,700000,88635,1,2,1,1
327,2018,800000,25000,1,1,1,1
328,2017,575000,20000,2,1,1,2
329,2012,350000,110000,1,1,1,2
330,2008,250000,120000,1,1,1,3
331,2011,600000,149674,1,2,1,2
332,2007,370000,100000,1,1,1,3
333,2006,80000,120000,2,1,1,3
334,2003,50000,120000,1,1,1,2
335,2018,900000,25000,1,1,1,1
336,2014,300000,35000,2,1,1,2
337,2002,125000,40000,2,1,1,1
338,2015,490000,60000,1,1,1,2
339,2012,300000,50000,1,1,1,2
340,2013,55000,25000,2,1,1,3
341,2016,350000,25000,2,1,1,1
342,2019,755000,8000,1,1,1,1
343,2017,720000,60000,1,1,1,1
344,2006,229999,169500,1,1,1,3
345,2018,1100000,20000,1,1,1,1
346,2013,400000,100000,2,1,1,1
347,2015,350000,70000,1,1,1,2
348,2012,159000,68000,1,2,1,1
349,2017,550000,38000,2,2,1,1
350,2013,335000,80000,1,2,1,1
351,2014,185000,72000,3,2,1,1
352,2012,229999,75000,3,2,1,1
353,2014,225000,43000,2,2,1,1
354,2007,250000,120000,2,1,1,2
355,2015,400000,100000,1,1,1,1
356,2014,470000,163000,1,1,1,1
357,2018,300000,25000,2,1,2,1
358,2011,145000,25000,2,1,1,1
359,2007,100000,90000,2,1,1,2
360,2014,500000,70000,1,1,1,2
361,2010,130000,98000,3,1,1,2
362,2010,240000,81925,1,1,1,1
363,2013,150000,80000,1,1,1,2
364,2017,270000,40000,2,1,1,1
365,2014,400000,90000,1,1,1,1
366,2012,200000,46000,2,1,1,1
367,2012,550000,80000,1,1,1,1
368,2018,325000,35000,2,1,1,1
369,2017,860000,82080,1,1,2,1
370,2012,600000,169500,1,1,1,1
371,2009,125000,70000,2,1,1,1
372,2001,60000,40000,2,1,1,3
373,2010,300000,120000,1,1,1,3
374,2007,190000,60000,2,1,1,3
375,2013,400000,110000,1,1,1,1
376,2011,260000,97000,1,1,1,2
377,2017,400000,30000,2,1,1,1
378,2010,250000,40000,2,1,1,1
379,2019,600000,10000,2,1,1,1
380,2010,175000,52047,2,1,1,1
381,2011,450000,169500,1,1,1,3
382,2019,350000,15000,2,1,2,2
383,2018,800000,50000,1,1,1,1
384,2011,250000,70000,2,1,1,2
386,2017,600000,90000,1,1,1,1
387,2016,130000,40000,2,1,1,1
388,2006,90000,62009,2,1,1,2
389,2017,595000,33100,2,1,1,2
390,2014,190000,40000,2,1,1,2
391,2001,50000,120000,2,1,1,2
392,2007,95000,80000,2,1,1,1
393,2016,1000000,70000,1,1,1,1
394,2006,220000,169500,2,1,1,2
395,2010,400000,50000,1,1,1,1
396,2015,315000,45000,2,1,1,2
397,2014,1000000,110000,1,1,1,1
398,2014,500000,49000,1,1,1,1
399,2018,1200000,35000,1,1,2,1
400,2017,500000,160000,1,1,1,1
401,2007,70000,169500,2,1,1,3
402,2007,105000,60000,2,1,1,2
403,2008,400000,110000,1,1,1,3
404,2004,80000,60000,2,1,1,3
405,2016,300000,30000,2,1,1,1
406,2017,409999,40000,1,1,1,1
407,2009,250000,70000,2,1,1,1
408,2010,250000,120000,1,1,1,2
409,2012,215000,80000,1,1,1,3
410,2015,1200000,120000,1,1,1,1
411,2018,475000,20000,2,1,1,1
412,2018,475000,22000,2,1,1,1
413,2008,75000,35000,2,1,1,2
414,2013,200000,120000,1,1,1,2
415,2019,575000,8000,2,1,1,1
416,2011,150000,40000,1,1,1,2
417,2018,850000,10000,1,1,1,1
418,2019,350000,30000,2,1,1,1
419,2011,550000,54000,1,1,1,2
420,2017,330000,80577,2,1,1,1
421,2017,1044999,25000,1,1,1,1
422,2011,300000,127500,1,1,1,2
423,2015,235000,40903,2,2,1,1
424,2011,120000,60000,2,1,1,3
425,2004,130000,46000,2,1,1,1
426,2004,275000,22288,1,2,1,2
427,2011,270000,169500,1,1,1,2
428,2015,500000,30000,1,1,1,2
429,2015,400000,61690,2,2,1,1
430,2015,600000,64484,2,2,1,1
431,2012,1200000,90000,1,1,2,2
432,2013,400000,75976,1,2,1,2
433,2011,220000,70000,1,1,1,2
434,2012,300000,85962,2,2,1,2
